knowledge,raw_question,correct_answer,hallucinated_answer
Viva was an adult woman's magazine that premiered in 1973 and ceased publication in 1980.Ainslee's Magazine was an American literary periodical published from 1897 to December 1926.,Are Viva and Ainslee's Magazine both periodicals?,yes,"No, Viva was a fashion magazine while Ainslee's Magazine was literary."
"""Uncanny X-Men"" #94, (originally published simply as ""The X-Men""), is a comic book starring the X-Men that was published by Marvel Comics in August 1975.Nightcrawler (Kurt Wagner) is a fictional superhero appearing in American comic books published by Marvel Comics, commonly in association with the X-Men.","""Uncanny X-Men"" #94, is a comic book starring the X-Men that was published by Marvel Comics in August 1975, with this issue, the magazine was revived, and all of the original X-Men quit, and are replaced by such ""All-New, All-Different"" X-Men as Nightcrawler (Kurt Wagner), a fictional superhero appearing in American comic books published by which company?",Marvel Comics,DC Comics.
" It serves many stores across these counties including The Griffin (until its closure in 2012), Spar, Centra, Vivo, Costcutter, Nisa and Mace. It was founded in 1932 by Adriaan van Well.","What year was Spar, the Dutch multinational retail chain served by Connoisseur's Bakery founded?",1932,Spar was founded in 1929.
"Dr. Roy Kinneer Patteson, Jr. was an American scholar whose knowledge of Biblical Hebrew, Aramaic, Syriac and Hellenistic Greek enabled him to undertake an analysis of the text of the Ben Sira Scroll discovered at Masada in Palestine in 1964. His research resulted in the establishment of a critical Hebrew text for portions of the first-century B.C. book, Sirach.The Book of the All-Virtuous Wisdom of Joshua ben Sira, commonly called the Wisdom of Sirach or simply Sirach, and also known as the Book of Ecclesiasticus (abbreviated Ecclus.) or Ben Sira, is a work of ethical teachings, from approximately 200 to 175 BCE, written by the Jewish scribe Ben Sira of Jerusalem, on the inspiration of his father Joshua son of Sirach, sometimes called Jesus son of Sirach or Yeshua ben Eliezer ben Sira.",The scholar who analyzed the Ben Sira scroll added portions to a book of the Bible  written by the author on the inspiration of who?,his father Joshua,The scholar who analyzed the Ben Sira scroll added portions to the Book of Ecclesiasticus.
" To the east is the village of Carronbridge and to the north west is a 16th-century country house, Drumlanrig Castle.Drumlanrig Castle is situated on the Queensberry Estate in Dumfries and Galloway, Scotland.",Tibbers Castle is to the southeast of a country house in what parts of Scotland?,Dumfries and Galloway,Tibbers Castle is in Scotland.
"The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on 23 May 1990 at the Praterstadion in Vienna, Austria.Franklin Edmundo ""Frank"" Rijkaard (] ; born 30 September 1962) is a Dutch former footballer and former manager who played as a midfielder or defender.","The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on which dater, The winning goal came in the 68th minute for Milan when Alessandro Costacurta passed the ball to Marco van Basten, who slotted it to Frank Rijkaard, who ran through the defense and scored, Franklin Edmundo ""Frank"" Rijkaard, is a Dutch former footballer and former manager who played as a midfielder or defender?",23 May 1990,The football match was played on 24 May 1990.
"Marvel Studios, LLC (originally known as Marvel Films from 1993 to 1996) is an American motion picture studio based at The Walt Disney Studios in Burbank, California and is a subsidiary of Walt Disney Studios, itself a wholly owned division of The Walt Disney Company, with film producer Kevin Feige serving as president.Kevin Feige, p.g.a. ( ; born June 2, 1973) is an American film producer and president of Marvel Studios.",Who is the president of Marvel Films and whose productions has a worldwide box office gross of $10 billion?,Kevin Feige,"Stan Lee, who also holds the record for the most cameo appearances in Marvel films."
" The film stars Regina Hall, Queen Latifah, Tiffany Haddish, Jada Pinkett Smith, Larenz Tate, and Mike Colter, and follows a group of four friends who go to New Orleans to attend the Essence Music Festival in order to reconnect.Tiffany Sarac Haddish (born December 3, 1979) is an American comedian and actress. She began her career appearing on television stand-up shows and sitcoms, before playing a series regular role in the Oprah Winfrey Network prime time soap opera, ""If Loving You Is Wrong"".",Girls Trip starred which actress who had a regular role on the Oprah Winfrey Network?,Tiffany Sarac Haddish,Queen Latifah was a regular on the Oprah Winfrey Network.
Manuel Orantes Corral (] ; born 6 February 1949) is a former tennis player who was active in the 1970s and 1980s.Anna-Lena Grönefeld (born 4 June 1985) is a German tennis player.,Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,yes,"No, Manuel Orantes is a retired professional bullfighter."
"The 2013 Indiana Hoosiers football team represented the Indiana University during the 2013 NCAA Division I FBS football season. The team was led by head coach Kevin Wilson, who was in his third season.Kevin Reece Wilson (born October 23, 1961) is an American football coach and former player who is the current offensive coordinator at Ohio State University.",The 2013 Indiana Hoosiers football team were lead by which current offensive coordinator at Ohio State?,Kevin Reece Wilson,"The 2013 Indiana Hoosiers football team were lead by Tom Herman, the current offensive coordinator at Ohio State."
 He is the elder son of tycoon Li Ka-shing and the brother of Richard Li.Richard Li Tzar Kai is a Hong Kong businessman and philanthropist.,Who is Victor Li Tzar-kuoi brother and a Hong Kong philanthropist?,Richard Li,"Victor Li Tzar-kuoi's brother is Richard Li, a Hong Kong businessman."
" It was co-written by band member Harry Styles. He made his debut as a singer with his band White Eskimo, who performed locally in Holmes Chapel, Cheshire.",Happily was co-written by the One Direction band member who got is debut as a singer for what band?,White Eskimo,Harry Styles made his debut as a singer with a band called Arctic Monkeys.
"Antonius Johannes van den Broek (4 May 1870, Zoetermeer – 25 October 1926, Bilthoven) was a Dutch amateur physicist notable for being the first who realized that the number of an element in the periodic table (now called atomic number) corresponds to the charge of its atomic nucleus. This hypothesis was published in 1911 and inspired the experimental work of Henry Moseley, who found good experimental evidence for it by 1913.Henry Gwyn Jeffreys Moseley (23 November 1887 – 10 August 1915) was an English physicist, whose contribution to the science of physics was the justification from physical laws of the previous empirical and chemical concept of the atomic number. This stemmed from his development of Moseley's law in X-ray spectra.",What was the nationality of the man who inspired the experimental work of the inventor of Moseley's law,Dutch,The man who inspired Moseley's law was from the Netherlands.
" The duo made their first appearance on Dr. Dre's highly acclaimed debut album ""The Chronic"" (1992), appearing on several songs. Dre was previously the co-owner of, and an artist on, Death Row Records.",Which former Death Row Records co-owner featured Tha Dogg Pound on his 1992 album The Chronic three years before they released their own debut album in 1995?,Dr. Dre,Ice Cube was the former Death Row Records co-owner who featured Tha Dogg Pound on his 1992 album The Chronic three years before they released their debut album.
"The National Actors Theatre (NAT) was a theatre company founded in 1991 by Tony Randall, whose dream it was to create such an organization.Tony Randall (born Aryeh (Arthur) Leonard Rosenberg; February 26, 1920May 17, 2004) was an American actor, producer, and director, best known for his role as Felix Unger in the television adaptation of Neil Simon's play ""The Odd Couple"".",The National Actors Theatre was founded by a man of what nationality?,American,"Tony Randall, founder of NAT, was Jewish."
"The 2011 AFL season was the Adelaide Crows 21st season in the AFL. Neil Craig was appointed coach, but was replaced by Mark Bickley after round 18.Mark Alan Bickley (born 4 August 1969)is a former professional Australian rules footballer who played for the Adelaide Football Club in the Australian Football League (AFL).","What former professional Australian rules footballer who played for the Adelaide Football Club in the Australian Football League (AFL), replaced coach Neil Craig after round 18 of their 21st season?",Mark Bickley,The Adelaide Crows replaced Neil Patrick Harris with Mark Bickley after round 18th of their 21st season.
" Dalipagić was enshrined into the Naismith Memorial Basketball Hall of Fame as a player in 2004 and into the FIBA Hall of Fame in 2007.The Naismith Memorial Basketball Hall of Fame is an American history museum and hall of fame, located at 1000 Hall of Fame Avenue in Springfield, Massachusetts.","What year was Dražen Dalipagić enshrined into a museum in Springfield, Massachusetts",2004,Dražen Dalipagić was enshrined in Springfield in 2005.
" The band have supported acts such as The Wanted, The Saturdays, Avril Lavigne, Scouting For Girls, Big Time Rush and Selena Gomez. Gomez began her career starring in the children's television series ""Barney & Friends"".","Which act did the band Twenty Twenty support who began her career starring in the children's television series ""Barney & Friends""?",Selena Gomez,The band Twenty Twenty never supported Selena Gomez.
"The second season of the American situation comedy television series, ""The Office"", premiered in the United States on NBC on September 20, 2005, and ended on May 11, 2006. It is an adaptation of the BBC series of the same name.","The second season of ""The Office"" was an adaptation of which other network's series?",BBC,There was no adaptation involved.
" The SuperSonics finished the season in second place in the Western Conference with a 43–39 record, the same as the previous year and reached the playoffs for a second consecutive season, where they lost to the Phoenix Suns in the Conference Semifinals in six games.The Phoenix Suns are an American professional basketball team based in Phoenix, Arizona.","in the 1975–76, Seattle SuperSonics lost to a team based in which US state ?",Arizona,The Seattle SuperSonics lost to the Memphis Grizzlies in the playoffs.
" His elder brother Lukman prepared him for the 1992 Olympics, where Elmadi won a silver medal, losing the final bout to Kevin Jackson via a controversial decision. After retiring from active competition he became the head wrestling coach at Iowa State University, having been hired in 2009 after Cael Sanderson moved to Penn State University.",Where did the olympic wrestler who defeated Elmadi Zhabrailov later go on to coach wrestling at?,Iowa State University,The olympic wrestler who defeated Elmadi Zhabrailov later went on to coach wrestling at the University of Iowa.
"Bagsecg (also known as Bægsecg or Bagsec) (died 8 January 871) was a Viking leader commonly referred to as a king. He was killed at the Battle of Ashdown, fighting a West Saxon Army led by King Ethelred and his younger brother, the future Alfred the Great.The Battle of Ashdown, in Berkshire (possibly the part now in Oxfordshire), took place on 8 January 871.",What date did Bagsecg die?,8 January 871,Bagsecg died on 1 August 871.
"""Miracle"" is a song by Julian Perretta released in 2015 in a collaboration with Belgian producer Lost Frequencies.Felix De Laet (born 30 November 1993), known by his stage name Lost Frequencies, is a Belgian DJ and record producer. He is best known for his singles ""Are You with Me"" in 2014 and ""Reality"" in 2015.","Miracle is a song by Julian Perretta, that was a collaboration with what Belgian DJ and record producer that is best known for ""Are you with me"" and ""Reality""?",Lost Frequencies,"DJ Dumbo is the Belgian DJ and record producer that collaborated with Julian Perretta in ""Miracle""."
" A resident of Portland, Oregon, she currently balances performing with her own band in venues around the country and touring with the Portland-based band Pink Martini around the world.Pink Martini is a musical group that was formed in 1994 by pianist Thomas Lauderdale in Portland, Oregon.",Storm Large tours with a Portland-based band formed in what year?,1994,Storm Large currently tours with a non-Portland based band.
"Belgium was represented by Ingeborg, with the song '""Door de wind"", at the 1989 Eurovision Song Contest, which took place in Lausanne, Switzerland on 6 May. The city is situated on the shores of Lake Geneva (French: ""Lac Léman"" , or simply ""Le Léman"").",the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,Lake Geneva,Lausanne is a city by Lake Constance.
" Since 1998, it has been owned by PepsiCo. In August 1964, the Mountain Dew brand and production rights were acquired from Tip by the Pepsi-Cola company, at which point distribution expanded more widely across the United States and Canada.",What company owns both Mountain Dew and Tropicana Products?,the Pepsi-Cola company,Coca-Cola owns both Mountain Dew and Tropicana.
"Turn Coat is the 11th book in ""The Dresden Files"", Jim Butcher's continuing series about wizard detective Harry Blackstone Copperfield Dresden. The first novel, ""Storm Front"", was published in 2000 by Roc Books.",Turn Coat is the 11th book in a series from which the first novel was published in which year ?,2000,The first novel was published in 1999.
"Elston Hall, formerly the Hotel Van Curler, is located on Washington Street in the city of Schenectady, New York, United States. As of the 2010 census, the city had a population of 66,135.",What was the population as of the 2010 census of the city where Elston Hall is located?,"66,135","Elston Hall is located in a city with around 65,500 people."
"""Playing God"" is a song by American rock band Paramore, taken from their third studio album, ""Brand New Eyes"" (2009).Brand New Eyes is the third studio album by American rock band Paramore, released on September 29, 2009 through Fueled by Ramen in the United States and Canada.","The band Paramore released the song ""Playing God"" on which album released through Fueled by Ramen?",Brand New Eyes,"Paramore released ""Playing God"" on their fourth album, Riot!."
"The 2003 Tennessee Titans season was the team's 44th season and their 34th in the National Football League. Quarterback Steve McNair threw for 3,215 yards and 24 touchdowns to just seven interceptions; he also rushed for 138 yards and four touchdowns, all despite missing two games to injury, and was named the NFL's co-MVP with Peyton Manning of the Titans' division arch-rival Indianapolis Colts. He spent a majority of his career with the Houston/Tennessee Oilers – Tennessee Titans and also played for the Baltimore Ravens.",The quarterback for the 2003 Tennessee Titans also played for what other NFL team?,Baltimore Ravens,The quarterback for the 2003 Tennessee Titans also played for the Indianapolis Colts.
"Pietro Alessandro Gaspare Scarlatti (2 May 1660 – 22 October 1725) was an Italian Baroque composer, especially famous for his operas and chamber cantatas.Nikolai Andreyevich Rimsky-Korsakov (18 March [O.S. 6 March] 1844 21 June [O.S. 8 June] 1908 ) was a Russian composer, and a member of the group of composers known as The Five.",What do Alessandro Scarlatti and Nikolai Rimsky-Korsakov have in common?,composer,Both have composed operas.
" The book derives its title from a line in Hamlet's famous ""To be, or not to be..."" soliloquy.To be, or not to be is the opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet"".",From what famous soliloquy is the title What Dreams May Come derived from?,Hamlet's,The title's origin is unknown.
"Ghostbusters (also known as Ghostbusters: Answer the Call and marketed as such on home release) is a 2016 supernatural comedy film directed by Paul Feig and written by Feig and Katie Dippold.Annette Jones (born September 7, 1967), better known as Leslie Jones, is an American comedian and actress who is a cast member and writer on ""Saturday Night Live"".",What television show is the American comedian and actress that starred in a 2016 supernatural comedy film directed by Paul Feig known for?,Saturday Night Live,Leslie Jones is a comedian.
" It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest.The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.",Horse Creek begins in which North American mountain range?,Cascade Range,Horse Creek begins in the Rocky Mountains.
"Ernest Joseph ""Trey"" Anastasio III ( , born September 30, 1964) is an American guitarist, composer, and vocalist noted for his work with the band Phish, and his solo career, including the Trey Anastasio Band and the orchestral ""Evenings with Trey Anastasio"" performed with the New York Philharmonic, the Los Angeles Philharmonic, the Atlanta Symphony Orchestra, the Baltimore Symphony, the Pittsburgh Symphony, and the Colorado Symphony.Sarah Anne Nixey (born 21 December 1973 in Dorset, England) is a British singer songwriter, best known as the vocalist in Black Box Recorder.","Who has performed with more band, Trey Anastasio or Sarah Nixey?",Trey Anastasio,Both have performed with numerous bands.
" His nickname is Balu (Germanized version of Baloo the bear in the Jungle Book).Baloo (Hindi: भालू ""Bhālū"", ""bear"") is a main fictional character featured in Rudyard Kipling's ""The Jungle Book"" from 1894 and ""The Second Jungle Book"" from 1895.",Raimond Aumann was nicknamed after a character in from a fictional book written by who?,Rudyard Kipling,Raimond Aumann was nicknamed after a character in a fictional German children's book.
"Peter Schattschneider (a.o. Univ.Prof.(born 1950 in Vienna) is an Austrian Physicist and Science-Fiction-Writer, currently a Professor at the Institute of Solid State Physics and a staff member of the USTEM special unit of the Vienna University of Technology.A physicist is a scientist who has specialized knowledge in the field of physics, the exploration of the interactions of matter and energy across the physical universe.", Peter Schattschneider is a cientist who has specialized knowledge in the exploration of the interactions of matter and energy across what?,the physical universe,Peter Schattschneider specializes in exploring the interactions of matter and energy on Earth.
" He has cultivated an African-American following after headlining on cable channel BET and performing at targeted events, such as Shaquille O'Neal's All-Star Comedy Jam Tour.Shaquille Rashaun O'Neal ( ; born March 6, 1972), nicknamed ""Shaq"" ( ), is an American retired professional basketball player and rapper, currently serving as a sports analyst on the television program ""Inside the NBA"".",What event kind of event named after a retired professional basketball player and rapper did Gary Owen perform at?,All-Star Comedy Jam Tour,Gary Owen performed at the Shaq-hosted comedy show.
"Robert Sikoryak (born 1964) is an American artist whose work is usually signed R. Sikoryak. He specializes in making comic adaptations of literature classics. Under the series title ""Masterpiece Comics"", these include ""Crime and Punishment"" rendered in Bob Kane–era Batman style, becoming ""Dostoyevsky Comics"", starring Raskol; and ""Waiting for Godot"" mixed with ""Beavis and Butt-Head"", becoming ""Waiting to Go"".Waiting for Godot ( ) is a play by Samuel Beckett, in which two characters, Vladimir and Estragon, wait for the arrival of someone named Godot who never arrives, and while waiting they engage in a variety of discussions and encounter three other characters.","Robert Sikoryak creates comic adaptations of literature classics like Waiting for Godot mixed with Beavis and Butt-Head becoming ""Waiting for Go"" under which series title?","""Masterpiece Comics""","The series title is ""Sikoryak Comics""."
" The film stars Justin Long, Wendie Malick, Ed Begley, Jr., Stephen Root, Danica McKellar, Mark DeCarlo, Tippi Hedren, Shirley Jones, Clint Howard, and Sam Huntington.Shirley Mae Jones (born March 31, 1934) is an American singer and actress of stage, film and television."" (1955), ""Carousel"" (1956), and ""The Music Man"" (1962). She won the Academy Award for Best Supporting Actress for playing a vengeful prostitute in ""Elmer Gantry"" (1960).","For which movie did this American singer and actress of stage, film and television who appeared in ""Raising Genius"" (2004) and ""The Music Man"" (1962) win an Academy Award for Best Supporting Actress?",Elmer Gantry,The Music Man won Best Supporting Actress.
" He had seven children, the youngest of which is French international, Djibril Cissé.Djibril Cissé (] ; born 12 August 1981) is a French footballer who plays for Swiss club Yverdon.",The youngest child of Mangue Cisse plays for what Swiss club?,Yverdon,The youngest child of Mangue Cisse plays for the FC Yverdon sport team.
"Tulips is a 1981 American comedy-drama film starring Gabe Kaplan and Bernadette Peters.Gabriel Weston ""Gabe"" Kaplan (born March 31, 1945) is an American comedian, actor, poker commentator, and professional poker player.",What 1945-born actor starred in Tulips?,Gabe Kaplan,Tulips starred the famous Johnny Carson.
" In 2007, she co-starred as Mikaela Banes, the love interest of Shia LaBeouf's character, in the blockbuster action film ""Transformers"", which became her breakout role.Confessions of a Teenage Drama Queen is a 2004 American teen musical comedy film directed by Sara Sugarman and produced by Robert Shapiro and Matthew Hart for Walt Disney Pictures.","Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",Transformers,Megan Fox's debut was in the 2007 American teen musical comedy film Confessions of a Teenage Drama Queen and she later went on to co-star in Transformers.
" The idea was initiated in 1898 by Sir Ebenezer Howard in the United Kingdom.Sir Ebenezer Howard {'1': "", '2': "", '3': "", '4': ""} ( ; 29 January 1850 – 1 May 1928), the English founder of the garden city movement, is known for his publication """" (1898), the description of a utopian city in which people live harmoniously together with nature."," The garden city movement is a method of urban planning in which self-contained communities are surrounded by ""greenbelts"", containing proportionate areas of residences, industry, and agriculture, the idea was initiated in 1898 by Sir Ebenezer Howard, (29 January 1850 – 1 May 1928), the English founder of the garden city movement, is known for his publication, in which year?",1898,Sir Ebenezer Howard initiated the garden city movement in 1998.
"""Selfish"" is a song by American rapper Future for his sixth studio album, ""Hndrxx"" (2017), featuring Barbadian singer Rihanna, the song was released as the lead single from ""Hndrxx"" on February 28, 2017.Hndrxx (stylized as HNDRXX and pronounced ""Hendrix"") is the sixth studio album by American rapper Future.",What is the name of the sixth studio album by American rapper Future which contains the song titled Selfish?,Hndrxx,"Future's sixth studio album is ""Selfish."""
" The song is based on the film ""Falling Down"", starring Michael Douglas.Michael Kirk Douglas (born September 25, 1944) is an American actor and producer.","The star of the film that includes the song ""Man on the Edge"" on its soundtrack was born in what year?",1944,"The star of the film that includes the song ""Man on the Edge"" on its soundtrack was actually born in 1945."
" It has been established that the region is at its warmest for at least 40,000 years and the Arctic-wide melt season has lengthened at a rate of 5 days per decade (from 1979 to 2013), dominated by a later autumn freezeup.The Arctic Ocean is the smallest and shallowest of the world's five major oceans.",By how many days per decade has the melt season lengthened in the shallowest of the world's major oceans?,5 days per decade,The Arctic Ocean melt season has lengthened by 10 days per decade.
"Cliff Potts (born January 5, 1942) is an American television and film actor most noted for his role as John Wolf in the 1972 cult science fiction film, ""Silent Running"" starring Bruce Dern.Bruce MacLeish Dern (born June 4, 1936) is an American actor, often playing supporting villainous characters of unstable nature. He was nominated for the Academy Award for Best Supporting Actor for ""Coming Home"" (1978) and the Academy Award for Best Actor for ""Nebraska"" (2013).","Which film did Cliff Potts, and the actor who was nominated for the Academy Award for Best Supporting Actor for ""Coming Home"", both appear in? ","""Silent Running""","Cliff Potts and Bruce Dern collaborated in the film, ""Coming Home""."
"The Job Training Partnership Act of 1982 (Pub.L. 97–300 , , et seq.) was a United States federal law passed October 13, 1982, by the United States Department of Labor during the Ronald Reagan administration.Ronald Wilson Reagan ( ; February 6, 1911 – June 5, 2004) was an American statesman and actor who served as the 40th President of the United States from 1981 to 1989.",What is the name of the 40th president who was in office when the Job Partnership Act of 1982 was passed?,Ronald Reagan,The Job Partnership Act of 1982 was passed during the presidency of Jimmy Carter.
"Robert Albert Diaco (born February 19, 1973) is an American football coach and former player. He is currently the defensive coordinator at Nebraska. Nebraska also has the most wins and the highest winning percentage of any program over the last 50 years.",What position does Bob Diaco hold with the football team hat has the most wins and the highest winning percentage of any program over the last 50 years?,defensive coordinator,Bob Diaco is a quarterback.
" The team was coached by Howard Schnellenberger and played their home games at Lockhart Stadium in Fort Lauderdale, Florida.Howard Leslie Schnellenberger (born March 16, 1934) is a retired American football coach with long service at both the professional and college levels.","The 2005 Florida Atlantic University Owls football team represented Florida Atlantic University in the 2005 NCAA Division I-A football season, the team was coached by Howard Leslie Schnellenberger, an retired football coach, of which nationality, with long service at both the professional and college levels?",American,Howard Schnellenberger's nationality is Canadian.
"The 1981 Minnesota Twins finished a combined 41-68, seventh in the American League West. It was also their 21st and final season at Metropolitan Stadium, before moving their home games to the Metrodome the next season.The Hubert H. Humphrey Metrodome (commonly called the Metrodome) was a domed sports stadium located in downtown Minneapolis, Minnesota. It opened in 1982 as a replacement for Metropolitan Stadium, the former home of the National Football League's (NFL) Minnesota Vikings and Major League Baseball's (MLB) Minnesota Twins, and Memorial Stadium, the former home of the Minnesota Golden Gophers football team.",What was the name of the downtown sports stadium that the Minnesota Twins played in beginning in 1982?,Hubert H. Humphrey Metrodome,The Metrodome was originally located in St. Paul.
" When Mayor Quimby later flees Springfield, the group takes control of the town, hoping to improve the lives of Springfieldians through the rule of the smartest.Mayor Joseph Fitzgerald O'Malley Fitzpatrick O'Donnell The Edge Quimby, nicknamed Diamond Joe, is a recurring character from the animated television series ""The Simpsons"".","""They Saved Lisa's Brain"" is the twenty-second episode of ""The Simpsons""' tenth season, when which recurring character from the animated television series ""The Simpsons"", and is voiced by Dan Castellaneta?",Mayor Quimby,Diamond Joe Quimby voiced Dan Castellaneta.
"Puyang is a prefecture-level city in northeastern Henan province, People's Republic of China.Pu'er () is a prefecture-level city in southern Yunnan Province, China.",Are Puyang and Pu'er City located in the same country?,yes,"Puyang is in northern Henan, while Pu'er is in southern Yunnan, so they are not in the same region of China."
"""Yakety Sax"" is a pop jazz instrumental jointly composed by James Q. ""Spider"" Rich and Boots Randolph. Randolph was a major part of the ""Nashville sound"" for most of his professional career.","""Yakety Sax"" composer Boots Randolph was part of what musical style group during most of his professional career?","the ""Nashville sound""",Boots Randolph was a part of the '70s country-pop music.
"""Through the Iris"" is a single released by alternative rock/metal band 10 Years in 2006. Their eighth studio album, ""(How to Live) As Ghosts"", is scheduled for release on October 27, 2017.","What is the title of the eighth studio album of the alternative rock/metal band who released the single ""Through the Iris"" in 2006?",(How to Live) As Ghosts,"The title of the eighth studio album of the alternative rock/metal band who released the single ""Through the Iris"" in 2006 is ""Ghostly Living""."
"Gold is a 2016 American crime drama film directed by Stephen Gaghan and written by Patrick Massett and John Zinman. The film is loosely based on the true story of the 1993 Bre-X mining scandal, when a massive gold deposit was supposedly discovered in the jungles of Indonesia; however, for legal reasons and to enhance the appeal of the film, character names and story details were changed. He is noted for writing the screenplay for Steven Soderbergh's film ""Traffic"", based on a Channel 4 series, for which he won the Academy Award, as well as ""Syriana"" which he wrote and directed.",What scandal did the director of Syrianna direct a movie about in 2016?,the 1993 Bre-X mining scandal,The director and writer of Syrianna directed a crime drama film that is loosely based on a true gold mining story.
"The Franklin–Nashville Campaign, also known as Hood's Tennessee Campaign, was a series of battles in the Western Theater, conducted from September 18 to December 27, 1864, in Alabama, Tennessee, and northwestern Georgia during the American Civil War. The Confederate Army of Tennessee under Lt. Gen. John Bell Hood drove north from Atlanta, threatening Maj. Gen. William T. Sherman's lines of communications and central Tennessee.John Bell Hood (June 1 or June 29, 1831 – August 30, 1879) was a Confederate general during the American Civil War. Arguably one of the best brigade and division commanders in the Confederate States Army, Hood gradually became increasingly ineffective as he was promoted to lead larger, independent commands late in the war; his career and reputation were marred by his decisive defeats leading an army in the Atlanta Campaign and the Franklin–Nashville Campaign.",When did the leader of the Confederate Army of Tennessee during Hood's Tennessee Campaign die?,"August 30, 1879",The leader of the Confederate Army of Tennessee during Hood's Tennessee Campaign passed away in 1879.
" Her other film appearances include ""Hook"" (1991), ""Cliffhanger"" (1993), ""Schindler's List"" (1993), ""Disclosure"" (1994), ""White Squall"" (1996), ""The Princess Diaries"" (2001) and ""The Dressmaker"" (2015).The Dressmaker is a 2015 Australian revenge comedy-drama film written and directed by Jocelyn Moorhouse, based on the novel of the same name by Rosalie Ham.","Caroline Cruice Goodall, is an English actress and screenwriter, her other film appearances include which 2015 Australian revenge comedy-drama film written and directed by Jocelyn Moorhouse, based on the novel of the same name by Rosalie Ham?",The Dressmaker,"The film that Caroline Cruice Goodall starred in is ""The Dressmaker"""
"Tina and Bobby is a British television series based on the relationship between footballer Bobby Moore and Tina Moore. The three-part series was first broadcast on 13 January 2017 on ITV. He is widely regarded as one of the greatest defenders of all time, and was cited by Pelé as the greatest defender that he had ever played against.",Which person cited by Pele as the greatest defender he had ever played was part of a British television series first broadcasting on 13 January 2017?,Bobby Moore,Pele once played against a British actor who portrayed the greatest defender in Tina and Bobby.
"Y'all magazine is an American magazine based out of Oxford, Mississippi, literary hub of the American South. It was published bimonthly with a circulation of 100,000 and features Southern celebrities, events and ordinary people with extraordinary stories to tell.Motor Trend is an American automobile magazine. It has a monthly circulation of over one million readers.","Which magazine has a higher circulation, Y'all or Motor Trend?",Motor Trend,Y'all magazine has a massive circulation.
"Roger Meddows Taylor (born 26 July 1949) is an English musician, singer and songwriter.Elizabeth Davidson Fraser (born 29 August 1963), sometimes known as Liz Fraser, is a British singer, songwriter and musician from Grangemouth, Scotland, best known as the vocalist for the band Cocteau Twins.","Who was born earlier, Roger Taylor or Elizabeth Fraser?",Roger Meddows Taylor,Elizabeth Davidson Fraser was born earlier.
" Highly tenacious and intelligent, Stark’s background as a literary and theatrical agent groomed him to produce some of the most dynamic and profitable films of the 1960s, 1970s, 1980s, and 1990s, such as ""The World of Suzie Wong"" (1961), ""West Side Story"" (1961), ""The Misfits"" (1961), ""Lolita"" (1962), ""The Night of The Iguana"" (1964), ""Reflections in a Golden Eye"" (1967), ""Funny Girl"" (1968), ""The Goodbye Girl"" (1977), ""The Toy"" (1982), ""Annie"" (1982), and ""Steel Magnolias"" (1989).Lolita is a 1962 British-American black comedy-drama film directed by Stanley Kubrick.",Who directed the British-American black comedy-drama film produced by Ray Stark?,Stanley Kubrick,Alfred Hitchcock directed Lolita.
"Adolfo Bioy Casares (] ; September 15, 1914 – March 8, 1999) was an Argentine fiction writer, journalist, and translator.Iris Rainer Dart (born March 3, 1944) is an American author and playwright for television and the stage.",Are both  Adolfo Bioy Casares and Iris Rainer Dart authors?,yes,"Adolfo Bioy Casares was a prolific Argentine writer, while Iris Rainer Dart is a playwright who has authored several books."
" It ceased operations in March 2008; its role as Cameroon's flag carrier was taken over by Camair-Co. Camair-Co has its headquarters in the Immeuble La Rotonde in Douala, and operates out of Douala International Airport.",What airline headquarted in Immeuble La Rotonde in Douala took over Cameroon Airlines Corporation in March 2008?,Camair-Co,Air Cameroun took over in 2008.
"Jean-Jacques Beineix (] ; born 8 October 1946) is a French film director and generally seen as the best example of what came to be called the ""cinéma du look"".John Ince, also known as John E. Ince, (August 29, 1878 – April 10, 1947) was an American stage and motion pictures actor, a film director, and the eldest brother of Thomas H. Ince and Ralph Ince.",Do Jean-Jacques Beineix and John Ince have the same nationality ?,no,"Yes, both are French."
"Barlow Pass is a 4155 ft mountain pass in the Cascades in Oregon, on the Oregon Trail, and a major milestone of the Barlow Road.The Oregon Trail is a 2170 mi historic east–west, large-wheeled wagon route and emigrant trail in the United States that connected the Missouri River to valleys in Oregon.","How long is this historic east–west, large-wheeled wagon route and emigrant trail in the United States on whch Barlow Pass is on?",2170 mi,The Oregon Trail is just over 2000 miles long.
"Place Bonaventure is an office, exhibition, and hotel complex in Downtown Montreal, Quebec, Canada, adjacent to the city's Central Station. Nearly 11 million rail passengers use the station every year.",Place Bonaventure is adjacent to a rail station that is used by how many passengers?,Nearly 11 million,About 10 million rail passengers.
